x,y,z
1153.96875,3081.730225,365.3201599
1143.96875,3081.741455,365.2267456
1133.96875,3081.752686,365.1358643
1126.134521,3081.761475,365.0662231
1116.134521,3081.772705,364.9761047
1106.134521,3081.783936,364.8601074
1096.134521,3081.795166,364.7094421
1086.134521,3081.806396,364.5240784
1076.134521,3081.817383,364.3197937
1066.134521,3081.828613,364.1148376
1056.134521,3081.839844,363.8968506
1051.178833,3081.845459,363.782196
1041.178833,3081.856689,363.5376587
1031.178833,3081.86792,363.2861938
1021.178772,3081.878906,363.0440674
1011.178772,3081.890137,362.8572083
1001.178772,3081.901367,362.731781
991.178772,3081.912598,362.6678467
981.178772,3081.923828,362.6607056
971.178833,3081.935059,362.6667786
961.178833,3081.946045,362.6905518
951.178833,3081.957275,362.7358398
941.178833,3081.968506,362.8026428
931.178833,3081.979736,362.8909302
923.2988281,3081.988525,362.9674072
913.2988281,3081.999756,363.0297546
903.2988281,3082.010986,363.0333252
893.2988281,3082.022217,362.9781189
883.2988281,3082.033447,362.8641357
873.2988281,3082.044434,362.7075195
863.2988281,3082.055664,362.545166
853.2988281,3082.066895,362.3515015
843.2988281,3082.078125,362.1210938
833.2988892,3082.089355,361.8599243
823.2988892,3082.100586,361.6296692
813.6108398,3082.111328,361.4969177
803.6108398,3082.122559,361.4542236
793.6108398,3082.133545,361.5057068
783.6108398,3082.144775,361.5891418
773.6108398,3082.156006,361.6708984
763.6108398,3082.167236,361.7349243
753.6109009,3082.178467,361.7772217
743.6109009,3082.189697,361.797821
733.6109009,3082.200684,361.7999878
723.6109009,3082.211914,361.7999878
713.6109009,3082.223145,361.7999878
703.6109009,3082.234375,361.7999878
698.30896,3082.240479,361.7999878
688.30896,3082.251709,361.7999878
678.309021,3082.262939,361.7999878
668.309021,3082.27417,361.7999878
658.309021,3082.285156,361.7999878
648.309021,3082.296387,361.7999878
638.309021,3082.307617,361.7999878
628.309021,3082.318848,361.7999878
624.8789673,3082.32251,361.7999878
614.8789673,3082.33374,361.7999878
604.8789673,3082.344971,361.7999878
594.8789673,3082.355957,361.7999878
584.8789673,3082.367188,361.7999878
574.8789673,3082.378418,361.794281
564.8789673,3082.389648,361.776825
554.8789673,3082.400879,361.7476807
544.8790894,3082.412109,361.7068176
534.8790894,3082.42334,361.6593933
524.8790894,3082.434326,361.6119385
514.8790894,3082.445557,361.5645142
504.8791199,3082.456787,361.5170898
494.8791199,3082.468018,361.469635
484.8791199,3082.479248,361.4222107
474.8791199,3082.490479,361.3747559
464.8791199,3082.501465,361.3024902
454.8791199,3082.512695,361.1176147
444.8791199,3082.523926,360.8287964
434.8791199,3082.535156,360.5262146
424.8791199,3082.546387,360.2236938
414.8791199,3082.557617,359.9222717
404.8791199,3082.568848,359.622467
394.8791809,3082.579834,359.3242798
384.8791809,3082.591064,359.0267639
374.8791809,3082.602295,358.726593
364.8791809,3082.613525,358.4187927
354.8791809,3082.624756,358.1032715
344.8791809,3082.635986,357.7799683
334.8791809,3082.646973,357.4496155
324.8791809,3082.658203,357.1178894
314.8791809,3082.669434,356.7857971
304.8791809,3082.680664,356.4533386
294.8792419,3082.691895,356.1205139
284.8792419,3082.703125,355.7875061
274.8792419,3082.714111,355.4555969
264.8792419,3082.725342,355.1258545
254.8792419,3082.736572,354.7983093
244.8792419,3082.747803,354.4729309
234.8792419,3082.759033,354.1538696
224.8792419,3082.770264,353.8944397
214.8792419,3082.781494,353.7107544
204.879303,3082.79248,353.6028442
194.879303,3082.803711,353.5595703
184.879303,3082.814941,353.5242615
174.879303,3082.826172,353.4889221
164.879303,3082.837402,353.5038452
154.879303,3082.848633,353.6405029
144.879303,3082.859619,353.8991394
134.879303,3082.87085,354.2175598
124.879303,3082.88208,354.5696106
114.879303,3082.893311,354.9580078
104.879364,3082.904541,355.3827515
94.87936401,3082.915771,355.84375
84.87936401,3082.927002,356.3205872
74.87936401,3082.937988,356.7908936
